category,headline,url
business,7 Resources for Minority-Owned Businesses in PA,https://dced.pa.gov/paproudblog/7-resources-minority-owned-businesses-pa/
business,Analysis: China’s Economy and Its Influence on Global Markets,https://www.usbank.com/investing/financial-perspectives/market-news/chinas-economic-influence.html
business,Home sales are ticking up — and more are coming to market,https://www.npr.org/2025/08/22/nx-s1-5510058/housing-market-mortgage-rates-homebuilding
business,How America’s AI boom is squeezing the rest of the economy,https://www.economist.com/finance-and-economics/2025/08/18/how-americas-ai-boom-is-squeezing-the-rest-of-the-economy
business,How Long Can This Uncanny Stock Market Prosper?,https://www.nytimes.com/2025/08/22/business/stock-market-nvidia-trump.html
business,What is the bottom line for the stock market?,https://finance.yahoo.com/news/what-is-the-bottom-line-for-the-stock-market-185741175.html
business,"Powell fires up markets, but some investors see reason for caution",https://www.reuters.com/business/finance/powell-fires-up-markets-some-investors-see-reason-caution-2025-08-22/
business,Corporate America is silent as Trump abandons free-market principles,https://www.cnn.com/2025/08/20/business/companies-trump-free-market
business,"Aug 22, 2025: New U.S. customs regulations: Temporary restrictions on postal goods shipping to the U.S. for private and business customers",https://group.dhl.com/en/media-relations/press-releases/2025/new-us-customs-regulations-temporary-restrictions-on-postal-goods-shipping-to-the-us-for-private-and-business-customers.html
business,"Stock Market News, Aug. 22, 2025: Dow Gains as Fed Chair Powell Opens Door to Rate Cut",https://www.wsj.com/livecoverage/stock-market-today-jackson-hole-jerome-powell-08-22-2025?gaa_at=eafs&gaa_n=ASWzDAh4xBiwJlyX_jlWoJLlv4Hn3v3xsN53QVcxXjswglfSf__3IRdRCaxu&gaa_ts=68aa132a&gaa_sig=omjWNwXorKqhI63gIUjoOpNpCmgX4wPE1n_BcqquIGAoFAu-oThcEPfexeFhlJqp3nbhvAopTN1zV0gtStuWPg%3D%3D
business,What’s happening this week in economics?,https://www.deloitte.com/us/en/insights/topics/economy/global-economic-outlook/weekly-update.html
business,"Stock market today: Dow jumps 800 points to record, S&P 500, Nasdaq soar as Powell's Jackson Hole finale fuels bets on September rate cut",https://finance.yahoo.com/news/live/stock-market-today-dow-jumps-800-points-to-record-sp-500-nasdaq-soar-as-powells-jackson-hole-finale-fuels-bets-on-september-rate-cut-200110990.html
business,Is a Market Correction Coming?,https://www.usbank.com/investing/financial-perspectives/market-news/is-a-market-correction-coming.html
business,Investors see risks for market as Powell walks tightrope at Jackson Hole,https://www.reuters.com/business/investors-see-risks-market-powell-walks-tightrope-jackson-hole-2025-08-21/
business,5 Things to Know Before the Stock Market Opens,https://www.investopedia.com/5-things-to-know-before-the-stock-market-opens-august-21-2025-11794979
business,The Bull and Bear Cases for Another Market Rally,https://www.nytimes.com/2025/08/18/business/dealbook/sp-500-market-valuations.html
business,"Stock market today: Dow, S&P 500 slip as Wall Street seeks clarity on Fed rate-cut path, Ukraine talks",https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-slip-as-wall-street-seeks-clarity-on-fed-rate-cut-path-ukraine-talks-200117403.html
business,5 Things to Know Before the Stock Market Opens,https://www.investopedia.com/5-things-to-know-before-the-stock-market-opens-august-22-2025-11795747
politics,Oklahoma State Election Board (0270),https://oklahoma.gov/elections.html
politics,Governor Newsom on introduction of ‘Election Rigging Response Act’ Legislative Package,https://www.gov.ca.gov/2025/08/18/governor-newsom-on-introduction-of-election-rigging-response-act-legislative-package/
politics,Gavin Newsom wants an election in a hurry on his gerrymander. Here’s what has to happen,https://calmatters.org/politics/2025/08/special-election-redistricting-how/
politics,Election Official Turnover Rates through the 2024 Election,https://bipartisanpolicy.org/issue-brief/election-official-turnover-rates-through-the-2024-election/
politics,DHS to states: Follow our voting rules or lose out on election security money,https://www.npr.org/2025/08/22/nx-s1-5508345/election-security-grants-trump-voting-policy
politics,Global COVID-19 Tracker,https://www.kff.org/covid-19/global-covid-19-tracker/
politics,What to know about Trump’s bid for the U.S. government to own a piece of Intel,https://www.pbs.org/newshour/politics/what-to-know-about-trumps-bid-for-the-u-s-government-to-own-a-piece-of-intel
politics,"Communications, Government & Public Affairs",https://www.colliercountyfl.gov/government/county-manager-operations/divisions/communications-government-public-affairs
politics,Myanmar’s December Election: Engineering Continuity Through Institutional Redesign,https://www.stimson.org/2025/myanmars-december-election-engineering-continuity-through-institutional-redesign/
politics,Politics & Government,https://www.michiganpublic.org/politics-government
politics,Privacy notice center,https://www.bms.com/privacy-policy.html
politics,"Fulton County Dems Defy Court Order, Block Appointment of Election Deniers",https://www.democracydocket.com/news-alerts/fulton-county-dems-defy-court-order-block-appointment-of-election-deniers/
politics,Trump and Putin are both criticizing mail-in voting. Election officials are freaking out.,https://www.politico.com/news/2025/08/19/trump-and-putin-are-both-criticizing-mail-in-voting-election-officials-are-freaking-out-00515513
politics,Newsmax settles Dominion election defamation case for $67m,https://www.bbc.com/news/articles/ckgend9yreeo
politics,Governor Newsom signs ‘Election Rigging Response Act’ legislative package; Gives people power to push back on Trump’s attempts to shred democracy,https://www.gov.ca.gov/2025/08/21/governor-newsom-signs-election-rigging-response-act-legislative-package-gives-people-power-to-push-back-on-trumps-attempts-to-shred-democracy/
politics,5 things to know about Gavin Newsom’s plan to redraw California’s election maps,https://calmatters.org/politics/2025/08/california-redistricting-things-to-know/
politics,"Intel will give the U.S. government a 10% stake, Trump says",https://www.npr.org/2025/08/22/nx-s1-5509673/trump-says-us-government-will-take-stake-intel
politics,Why the federal government could take a stake in Intel,https://www.pbs.org/newshour/show/why-the-federal-government-could-take-a-stake-in-intel
politics,President Trump’s Executive Order on Homelessness: A Shift in Federal Policy,https://bipartisanpolicy.org/blog/president-trumps-executive-order-on-homelessness-a-shift-in-federal-policy/
politics,Gavin Newsom’s redistricting plan is on its way to voters. What you need to know,https://calmatters.org/politics/2025/08/california-redistricting-vote/
sports,Parks Sports and Activities,https://www.boston.gov/departments/parks-and-recreation/parks-sports-and-activities
sports,SEC to implement nine-game conference football schedule in 2026,https://www.secsports.com/news/2025/08/sec-to-implement-nine-game-conference-football-schedule-in-2026
sports,Proving Grounds – Preseason with Virginia Men’s Basketball Episode One,https://virginiasports.com/news/2025/08/21/proving-grounds-preseason-with-virginia-mens-basketball-episode-one/
sports,Men’s Basketball Signs Kerem Konan,https://gocreighton.com/news/2025/8/17/mens-basketball-mens-basketball-signs-kerem-konan
sports,"College Football Playoff rankings schedule, release dates",https://www.ncaa.com/news/football/article/2025-08-20/when-do-college-football-playoff-rankings-come-out
sports,NCAA 'concerned' by football prediction markets,https://www.espn.com/college-football/story/_/id/46050298/ncaa-concerned-college-football-prediction-markets
sports,No. 1 Men’s Soccer Blanks Sacred Heart 2-0 in Season Opener,https://uvmathletics.com/news/2025/8/21/mens-soccer-no-1-mens-soccer-blanks-sacred-heart-2-0-in-season-opener.aspx
sports,ESPN Welcomes Back Extensive College Football Studio Programming for 2025-26 Season,https://espnpressroom.com/us/press-releases/2025/08/espn-welcomes-back-extensive-college-football-studio-programming-for-2025-26-season/
sports,Closing the monetization gap in women’s sports: A $2.5 billion opportunity,https://www.mckinsey.com/industries/technology-media-and-telecommunications/our-insights/closing-the-monetization-gap-in-womens-sports-a-2-point-5-billion-dollar-opportunity
sports,K-State Opens 2025 Season with Aer Lingus College Football Classic - Kansas State University Athletics,https://www.kstatesports.com/news/2025/8/18/k-state-opens-2025-season-with-aer-lingus-college-football-classic
sports,Men's Basketball Non-Conference Schedule Announced,https://fightingillini.com/news/2025/8/18/mens-basketball-non-conference-schedule-announced.aspx
sports,Tony Bland Joins KU Men’s Basketball Staff as Assistant Coach,https://kuathletics.com/news/2025/8/20/mens-basketball-tony-bland-joins-ku-mens-basketball-staff-as-assistant-coach
sports,"This College Football Season, Everyone’s a Winner with DoorDash",https://about.doordash.com/en-us/news/doordash-streaks-college-football
sports,Notre Dame Athletics Unveils Initial Sports-Specific Leprechaun Mark,https://fightingirish.com/notre-dame-athletics-unveils-initial-sports-specific-leprechaun-mark/
sports,"No, you're overrated: A study of college football's 10 most overhyped teams over the last decade",https://www.cbssports.com/college-football/news/no-youre-overrated-a-study-of-college-footballs-10-most-overhyped-teams-over-the-last-decade/
sports,WVU Sports Hall of Fame Class Selected,https://wvusports.com/news/2025/8/22/general-wvu-sports-hall-of-fame-class-selected.aspx
sports,Top 30 FBS college football nonconference games this season,https://www.ncaa.com/news/football/article/2025-07-31/top-30-fbs-college-football-nonconference-games-season
sports,2025 preseason College Football Playoff predictions,https://www.espn.com/college-football/story/_/page/playoffpredictions082225/college-football-playoff-predictions-2025-preseason
sports,Friday Night Football Parking Advisory,https://fightingillini.com/news/2025/8/21/friday-night-football-parking-advisory.aspx
sports,"College football scores: Top 25 rankings, schedule, scores for Week 0",https://www.ncaa.com/news/football/article/2025-08-21/college-football-scores-top-25-rankings-schedule-scores-week-0
tech,Why Did a $10 Billion Startup Let Me Vibe-Code for Them—and Why Did I Love It?,https://www.wired.com/story/why-did-a-10-billion-dollar-startup-let-me-vibe-code-for-them-and-why-did-i-love-it/
tech,2025 Distressed Communities Index,https://eig.org/dci-hub/
tech,‘It’s going to be a big deal’: The NFL and Microsoft expand their partnership and introduce sideline technology using AI innovation,https://news.microsoft.com/source/features/digital-transformation/the-nfl-and-microsoft-expand-their-partnership-and-introduce-sideline-technology-using-ai-innovation/
tech,EY US - Home | Building a better working world,https://www.ey.com/en_us
tech,Self-driving vehicle startup Nuro valued at $6 billion in late-stage funding round,https://www.reuters.com/business/autos-transportation/self-driving-vehicle-startup-nuro-valued-6-billion-late-stage-funding-round-2025-08-21/
tech,"Binghamton student-faculty team wins $50,000 in startup competition - Binghamton News",https://www.binghamton.edu/news/story/5725/binghamton-student-faculty-team-wins-50000-in-suny-startup-competition
tech,"GM's AI vision: Less sci-fi, more practical innovation",https://www.axios.com/2025/08/20/artificial-intelligence-ai-gm
tech,Is our obsession with innovation causing a humanity deficit?,https://www.weforum.org/stories/2025/08/obsession-innovation-humanity-deficit/
tech,Exclusive | A Startup That Uses AI to Spot Financial Fraud Raises $60 Million,https://www.wsj.com/articles/a-startup-that-uses-ai-to-spot-financial-fraud-raises-60-million-24a0ca7e?gaa_at=eafs&gaa_n=ASWzDAi3ZV8Vsc14GraXTzU9dsq3Y57W96iMTVQQrUD7PmelThsWbOoaLbQa&gaa_ts=68aa1345&gaa_sig=NfaQA2NTCdSoGY3dhlWRAawG6WHayL8yoMuQ8kYtgA-gykmjFylu3DFAnX-djX7i7zrZwVvkhyzjEkgg-uk8pQ%3D%3D
tech,Physicians embrace AI note-taking technology,https://news.harvard.edu/gazette/story/2025/08/physicians-embrace-ai-note-taking-technology/
tech,Stacy Strauss to depart OHIO’s Innovation Center,https://www.ohio.edu/news/2025/08/stacy-strauss-depart-ohios-innovation-center
tech,RFK Jr’s attack on mRNA technology endangers the world,https://www.economist.com/science-and-technology/2025/08/20/rfk-jrs-attack-on-mrna-technology-endangers-the-world
tech,Modern Technology Offers New Look Inside Hanford’s Sealed Nuclear Reactors,https://www.energy.gov/em/articles/modern-technology-offers-new-look-inside-hanfords-sealed-nuclear-reactors
tech,"Penn State’s 2025 Ag Progress Days a success in showcasing innovation, impact",https://www.psu.edu/news/agricultural-sciences/story/penn-states-2025-ag-progress-days-success-showcasing-innovation-impact
tech,This AI-Fueled Startup Is Helping Attorneys Find New Class Action Lawsuits,https://www.forbes.com/sites/jeffkauflin/2025/08/21/this-ai-fueled-startup-is-helping-attorneys-find-new-class-action-lawsuits/
tech,What’s Wrong With Innovation?,https://thereader.mitpress.mit.edu/whats-wrong-with-innovation/
tech,How This Founder Sold His Vibe-Coding Startup for $80 Million Just 4 Months After Launching It,https://www.inc.com/ben-sherry/how-this-founder-sold-his-vibe-coding-startup-for-80-million-just-4-months-after-launching-it/91225024
tech,Nvidia is latest investor to back AV startup Nuro in $203M funding round,https://techcrunch.com/2025/08/21/nvidia-is-latest-investor-to-back-av-startup-nuro-in-203m-funding-round/
tech,Blockchain lender Figure Technology reveals revenue surge in US IPO filing,https://www.reuters.com/business/blockchain-lender-figure-technology-reveals-revenue-surge-us-ipo-filing-2025-08-18/
tech,Chinese AI startup DeepSeek releases upgraded model with domestic chip support,https://www.reuters.com/world/china/chinese-ai-startup-deepseek-releases-upgraded-model-with-domestic-chip-support-2025-08-21/
science,What the data says about immigrants in the U.S.,https://www.pewresearch.org/short-reads/2025/08/21/key-findings-about-us-immigrants/
science,NIH Publishes Plan to Drive Gold Standard Science,https://www.nih.gov/about-nih/nih-director/statements/nih-publishes-plan-drive-gold-standard-science
science,Researchers in various studies looking for participants,https://www.purdue.edu/newsroom/purduetoday/2025/Q3/researchers-in-various-studies-looking-for-participants
science,This is why I’ll never stop fighting for science,https://news.northwestern.edu/stories/2025/08/felicia-tuchman-will-never-stop-fighting-for-science/
science,Research suggests doctors might quickly become dependent on AI,https://www.npr.org/sections/shots-health-news/2025/08/19/nx-s1-5506292/doctors-ai-artificial-intelligence-dependent-colonoscopy
science,Bring NASA Science into Your Library!,https://science.nasa.gov/get-involved/citizen-science/bring-nasa-science-into-your-library/
science,The discovery of a gene for chronic pain could herald new treatments,https://www.economist.com/science-and-technology/2025/08/20/the-discovery-of-a-gene-for-chronic-pain-could-herald-new-treatments
science,New study reveals how fat cells can fuel cancer tumors,https://www.nbcnews.com/health/cancer/fat-cells-breast-cancer-tumors-triple-negative-risk-overweight-rcna225598
science,RFK Jr. Vowed to Find the Environmental Causes of Autism. Then He Shut Down Research Trying to Do Just That.,https://www.propublica.org/article/rfk-jr-autism-environment-research-funding
science,Science,https://www.theverge.com/science
science,Accelerating life sciences research,https://openai.com/index/accelerating-life-sciences-research-with-retro-biosciences/
science,"Over-the-counter pill boosts access to contraception, OHSU study finds",https://news.ohsu.edu/2025/08/18/over-the-counter-pill-boosts-access-to-contraception-ohsu-study-finds
science,Supreme Court lets Trump administration cut $783 million of research funding in anti-DEI push,https://www.statnews.com/2025/08/21/supreme-court-trump-research-funding-cuts-anti-dei-push/
science,Stablecoin summer,https://www.goldmansachs.com/insights/top-of-mind/stablecoin-summer
science,Discovery of a widespread chemical signalling pathway in the Bacteroidota,https://www.nature.com/articles/s41586-025-09418-9
science,U.S. Unauthorized Immigrant Population Reached a Record 14 Million in 2023,https://www.pewresearch.org/race-and-ethnicity/2025/08/21/u-s-unauthorized-immigrant-population-reached-a-record-14-million-in-2023/
science,Phantom limb study rewires our understanding of the brain,https://www.nih.gov/news-events/news-releases/phantom-limb-study-rewires-our-understanding-brain
science,New Moon Discovered Orbiting Uranus Using NASA’s Webb Telescope,https://science.nasa.gov/blogs/webb/2025/08/19/new-moon-discovered-orbiting-uranus-using-nasas-webb-telescope/
science,How Americans View Journalists in the Digital Age,https://www.pewresearch.org/journalism/2025/08/20/how-americans-view-journalists-in-the-digital-age/
science,How the audiences of 30 major news sources differ in their levels of education,https://www.pewresearch.org/short-reads/2025/08/18/how-the-audiences-of-30-major-news-sources-differ-in-their-levels-of-education/
entertainment,Celebrating 10 years of fandom on YouTube Music,https://blog.youtube/news-and-events/celebrating-10-years-of-youtube-music/
entertainment,"The Best Coen Brothers Movies, Definitively Ranked",https://www.gq.com/story/every-coen-brothers-movie-definitively-ranked
entertainment,Smith Entertainment Group plans to build new music venue near Delta Center,https://utahnewsdispatch.com/2025/08/19/smith-entertainment-group-new-music-venue-near-delta-center/
entertainment,What we lose in the gamification of music,https://www.npr.org/2025/08/18/g-s1-83310/taylor-swift-the-life-of-a-showgirl-games
entertainment,22 Unappreciated Movies That Deserve 500% More Hype Than They Ever Received,https://www.buzzfeed.com/kaylayandoli/underrated-unappreciated-movies-films
entertainment,Five International Movies to Stream Now,https://www.nytimes.com/2025/08/22/movies/five-international-movies-to-stream-now.html
entertainment,Deftones – Private Music,https://thequietus.com/quietus-reviews/deftones-private-music-review/
entertainment,The 21 movies we’re most excited to see this fall,https://www.latimes.com/entertainment-arts/movies/story/2025-08-20/21-movies-most-excited-to-see-fall-2025
entertainment,"Salt Lake City to Land New 6,000-Capacity Music Venue",https://buildingsaltlake.com/seg-to-build-new-6000-seat-venue-in-new-downtown-entertainment-district/
entertainment,Deftones singer Chino Moreno: ‘I’ve got hundreds of drawings of myself in my house’,https://www.theguardian.com/music/2025/aug/21/deftones-singer-chino-moreno-ive-got-hundreds-of-drawings-of-myself-in-my-house
entertainment,"What To Watch This Weekend: New Shows And Movies To Stream On Netflix, Hulu, Prime Video, Apple TV And More",https://www.forbes.com/sites/erikkain/2025/08/16/what-to-watch-this-weekend-new-shows-and-movies-to-stream-on-netflix-hulu-prime-video-apple-tv-and-more/
entertainment,Steve Gunn: Music for Writers Album Review,https://pitchfork.com/reviews/albums/steve-gunn-music-for-writers/
entertainment,Head Back to School with These Family-Friendly Movies,https://www.netflix.com/tudum/articles/back-to-school-family-movies
entertainment,"The 25 Greatest Sports Movies of All Time, Ranked",https://www.hollywoodreporter.com/lists/best-sports-movies-ranked/
entertainment,When is Des Moines' World Food & Music Festival? How to celebrate international culture,https://www.desmoinesregister.com/story/entertainment/2025/08/22/des-moines-world-food-music-festival-international-cuisine-culture-concert-schedule/85775130007/
entertainment,9 New Movies Our Critics Are Talking About This Week,https://www.nytimes.com/2025/08/22/movies/9-new-movies-our-critics-are-talking-about-this-week.html
entertainment,Deftones’ explosive new album ‘Private Music’ meets their renaissance moment head on,https://www.latimes.com/entertainment-arts/music/story/2025-08-22/deftones-private-music-chino-moreno-new-album
entertainment,The best new albums out Aug. 22 : All Songs Considered,https://www.npr.org/2025/08/22/nx-s1-5509926/new-music-friday-earl-sweatshirt-deftones-kid-cudi-mac-demarco
entertainment,Deftones: private music Album Review,https://pitchfork.com/reviews/albums/deftones-private-music/
entertainment,Five Free Movies to Stream Now,https://www.nytimes.com/2025/08/22/movies/five-free-movies-to-stream-now.html
